Team,OPR,Cargo Side (Panel),Cargo Side (Cargo),Cargo Front (Panel),Cargo Front (Cargo),Rocket High (Panel),Rocket High (Cargo),Rocket Mid (Panel),Rocket Mid (Cargo),Rocket Low (Panel),Rocket Low (Cargo),Starting Avg,Climbing Avg
5949,15.859,-0.297,2.210,0.506,0.991,0.121,-0.016,0.338,0.077,1.408,0.141,0.000,1.500
6167,10.317,0.251,0.494,1.468,0.903,-0.277,-0.066,-0.084,-0.309,0.870,0.219,0.000,2.143
6222,6.819,0.120,0.017,0.249,0.338,-0.179,0.107,-0.145,0.040,0.057,0.132,1.714,3.000
6366,9.362,-0.052,0.946,0.149,0.268,0.057,-0.166,0.819,0.080,0.730,-0.143,0.000,3.000
6626,12.874,0.239,0.184,1.088,0.630,0.310,-0.067,0.878,0.179,0.503,0.068,0.000,3.857
6961,4.526,0.312,-0.261,0.043,0.179,0.005,0.245,-0.057,0.019,0.419,-0.321,2.000,1.500
7072,18.013,0.210,2.606,1.400,1.027,-0.117,-0.046,0.040,-0.027,-0.206,-0.440,2.571,3.429
7085,7.069,0.461,0.112,0.742,-0.043,-0.123,-0.145,0.113,-0.059,1.034,0.007,0.000,3.000
7107,13.426,0.147,-0.075,1.304,0.326,-0.066,0.013,-0.028,-0.034,0.913,0.733,3.000,3.000
7152,20.126,-0.372,2.863,0.672,0.301,0.204,0.074,0.468,0.127,0.513,0.212,0.000,6.429
7409,3.500,0.229,-0.675,0.258,0.216,0.167,0.019,0.054,0.002,0.584,0.029,0.000,2.143
7489,2.694,-0.050,0.943,-0.415,-0.163,-0.272,-0.110,-0.338,-0.143,0.280,0.615,0.429,0.429
